Type;Category;Family;Genus;Species;Mean_BodySize_µm;Habitat;Name;Sub-Phylum;Name_Abbreviation;Log10_BodySize
Pluricellular;Invertebrates;Chironomidae;Smittia;sp.;3475;pel/ben;Smittia sp;invertebrate;Smts;3.54095480892613
Pluricellular;Invertebrates;Bithyniidae;Bythinella;sp.;3000;ben;Bythinella sp;invertebrate;Byts;3.47712125471966
Pluricellular;Invertebrates;Ceratopogonidae;Ceratopogoninae;sp.;1900;ben;Ceratopogoninae sp;invertebrate;Crts;3.27875360095283
Pluricellular;Zooplankton;Daphniidae;Daphnia;longispina;1820;pel;Daphnia longispina;invertebrate;Dphl;
Pluricellular;Invertebrates;Corixidae;Micronecta;sp.;1625;ben;Micronecta sp;invertebrate;Mcrns;3.21085336531489
Pluricellular;Zooplankton;Cyclopidae;Megacyclops;viridis;1150;pel;Megacyclops viridis;invertebrate;Mgcv;3.06069784035361
Pluricellular;Zooplankton;Cyclopidae;Acanthocyclops;robustus;1100;pel;Acanthocyclops robustus;invertebrate;Acnr;3.04139268515822
Pluricellular;Zooplankton;Cyclopidae;Mesocyclops;leuckartii;1100;pel;Mesocyclops leuckartii;invertebrate;Mscyl;3.04139268515822
Pluricellular;Zooplankton;Cyclopidae;Cyclops;prealpinus;950;pel;Cyclops prealpinus;invertebrate;Cyclpp;2.97772360528885
Pluricellular;Zooplankton;Cyclopidae;Cyclops;vicinus;950;pel;Cyclops vicinus;invertebrate;Cycv;2.97772360528885
Pluricellular;Zooplankton;Cyclopidae;Thermocyclops;crassus;900;pel;Thermocyclops crassus;invertebrate;Thrc;2.95424250943932
Pluricellular;Zooplankton;Sididae;Diaphanosoma;brachyurum;895;pel;Diaphanosoma brachyurum;invertebrate;Dphb;2.95182303531591
Pluricellular;MicroZooplankton;Asplanchnidae;Asplanchna;priodonta;850;pel;Asplanchna priodonta;invertebrate;Aspp;2.92941892571429
Pluricellular;MicroZooplankton;Brachionidae;Kellicottia;longispina;725;pel;Kellicottia longispina;invertebrate;Klll;2.86033800657099
Pluricellular;Invertebrates;Hydrachnidia;fam.;sp.;578;ben;Hydrachnidia sp;invertebrate;Hyds;2.76192783842053
Pluricellular;Zooplankton;Bosminidae;Bosmina;longirostris;500;pel;Bosmina longirostris;invertebrate;Bsml;2.69897000433602
Pluricellular;Zooplankton;Diaptomidae;Eudiaptomus;gracilis;485;pel;Eudiaptomus gracilis;invertebrate;Edpg;2.68574173860226
Pluricellular;Zooplankton;Chydoridae;Chydorus;sphaericus;420;ben;Chydorus sphaericus;invertebrate;Chys;2.6232492903979
Pluricellular;Zooplankton;Bosminidae;Eubosmina;longispina;420;pel;Eubosmina longispina;invertebrate;Ebsl;2.6232492903979
Pluricellular;Zooplankton;Bosminidae;Eubosmina;coregoni;420;pel;Eubosmina coregoni;invertebrate;Ebsc;2.6232492903979
Unicellular;Ciliates;Dileptidae;Dileptus;sp.;375;pel;Dileptus sp;invertebrate;Dlps;2.57403126772772
Unicellular;Phytoplankton;Volvocaceae;Volvox;carteri;326;pel;Volvox carteri;phytoplankton;Vlvxc;2.51321760006794
Unicellular;Ciliates;Condylostomatidea;Condylostoma;minutum;300;pel;Condylostoma minutum;invertebrate;Cndm;2.47712125471966
Unicellular;Ciliates;Rigidotrichidae;Rigidothrix;sp.;285;pel;Rigidothrix sp;invertebrate;Rgds;2.45484486000851
Unicellular;Phytoplankton;Fragilariaceae;Ulnaria;ulna;275;pel/ben;Ulnaria ulna;phytoplankton;Ulnu;2.43933269383026
Unicellular;Phytoplankton;Euglenaceae;Euglena;longa;260;pel;Euglena longa;phytoplankton;Egll;2.41497334797082
Unicellular;Phytoplankton;Ceratiaceae;Ceratium;hirundinella;240;pel;Ceratium hirundinella;phytoplankton;Crth;2.38021124171161
Unicellular;Ciliates;Spathidiidae;Teuthophrys;trisulca;225;pel;Teuthophrys trisulca;invertebrate;Ttht;2.35218251811136
Pluricellular;MicroZooplankton;Concochilidae;Conochilus;unicornis;225;pel;Conochilus unicornis;invertebrate;Cncu;2.35218251811136
Pluricellular;MicroZooplankton;Brachionidae;Notholca;caudata;217.5;pel;Notholca caudata;invertebrate;Nthc;2.33745926129066
Unicellular;Ciliates;Oxytrichidae;Oxytricha;granulifera;150;pel;Oxytricha granulifera;invertebrate;Oxyg;2.17609125905568
Unicellular;Ciliates;Oxytrichidae;Oxytricha;longa;150;pel;Oxytricha longa;invertebrate;Oxyl;2.17609125905568
Unicellular;Phytoplankton;Fragilariaceae;Fragilaria;ulna;150;pel;Fragilaria ulna;phytoplankton;Frgu;2.17609125905568
Unicellular;Ciliates;Phacodiniidae;Phacodinium;metchnikoffi;145;pel;Phacodinium metchnikoffi;invertebrate;Phcm;2.16136800223497
Unicellular;Ciliates;Colepidae;Coleps;sp.;135;pel;Coleps sp;invertebrate;Clpss;2.13033376849501
Unicellular;Ciliates;Rigidotrichidae;Uroleptus;willii;125;pel;Uroleptus willii;invertebrate;Urlw;2.09691001300806
Unicellular;Phytobenthos;Naviculaceae;Gyrosigma;sciotense;122.5;ben;Gyrosigma sciotense;phytoplankton;Gyrs;2.08813608870055
Unicellular;Phytobenthos;Ulnariaceae;Ulnaria;acus;121;ben;Ulnaria acus;phytoplankton;Ulna;2.08278537031645
Unicellular;Ciliates;Oxytrichidae;Gastrostyla;steinii;117.5;pel;Gastrostyla steinii;invertebrate;Gsts;2.07003786660776
Unicellular;Phytobenthos;Rhopalodiaceae;Rhopalodia;parallela;108.5;ben;Rhopalodia parallela;phytoplankton;Rhpp;2.03542973818455
Unicellular;Phytoplankton;Fragilariaceae;Fragilaria;crotonensis;105;pel;Fragilaria crotonensis;phytoplankton;Frglrcr;2.02118929906994
Unicellular;Phytoplankton;Fragilariaceae;Fragilaria;capucina;105;pel;Fragilaria capucina;phytoplankton;Frglrcp;2.02118929906994
Unicellular;Phytoplankton;Dinobryaceae;Dinobryon;bavaricum;105;pel;Dinobryon bavaricum;phytoplankton;Dnbb;2.02118929906994
